date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:06:49	70/70	---M--	200	added ('OK')	text/plain	etag:%22ce7dae04a34d8a03e0096da7df32ad11-ssl%22	https://d4builds.gg/robots.txt		(from )
16:06:49	401012/401012	---M-Z	200	added ('OK')	text/html	etag:%22f739e19c0cd79da32e6683b2444c85e7-ssl-df%22	https://d4builds.gg/	C:/My%20Web%20Sites/cloning/d4builds.gg/index.html	(from )
16:06:50	264/264	---M--	200	added ('OK')	image/gif	etag:%22116a468feea4218727506da43405a596%22	https://rerollcdn.com/WOW/UI/socket_meta.gif	C:/My%20Web%20Sites/cloning/rerollcdn.com/WOW/UI/socket_meta.gif	(from https://d4builds.gg/)
16:06:51	2032/2032	---M--	200	added ('OK')	image/png	etag:%222780090400b61860f19dcac2b80cbfe1-ssl%22	https://d4builds.gg/favicon-32x32.png?v=bda57afdeaa7f56b094c09032fec7c53	C:/My%20Web%20Sites/cloning/d4builds.gg/favicon-32x32e40e.png	(from https://d4builds.gg/)
16:06:52	1158/1158	---M-Z	200	added ('OK')	application/octet-stream	etag:%2277ae502747efdc5ea5a58479b459fe41-ssl-df%22	https://d4builds.gg/manifest.webmanifest	C:/My%20Web%20Sites/cloning/d4builds.gg/manifest.webmanifest	(from https://d4builds.gg/)
16:06:52	2032/2032	---M--	200	added ('OK')	image/png	etag:%222780090400b61860f19dcac2b80cbfe1-ssl%22	https://d4builds.gg/src/images/favicon-16x16.png?v=bda57afdeaa7f56b094c09032fec7c53	C:/My%20Web%20Sites/cloning/d4builds.gg/src/images/favicon-16x16e40e.png	(from https://d4builds.gg/)
16:06:53	2182/2182	---M--	200	added ('OK')	image/png	etag:%229b4c90d226755ca454cdea4cc038fc8a-ssl%22	https://d4builds.gg/icons/icon-48x48.png?v=bda57afdeaa7f56b094c09032fec7c53	C:/My%20Web%20Sites/cloning/d4builds.gg/icons/icon-48x48e40e.png	(from https://d4builds.gg/)
16:06:54	2947/2947	---M--	200	added ('OK')	image/png	etag:%22e6645d1a7aff75a01eab163e6a04b326-ssl%22	https://d4builds.gg/icons/icon-72x72.png?v=bda57afdeaa7f56b094c09032fec7c53	C:/My%20Web%20Sites/cloning/d4builds.gg/icons/icon-72x72e40e.png	(from https://d4builds.gg/)
16:06:55	3528/3528	---M--	200	added ('OK')	image/png	etag:%224c834b16222816934c73efecf2e53980-ssl%22	https://d4builds.gg/icons/icon-96x96.png?v=bda57afdeaa7f56b094c09032fec7c53	C:/My%20Web%20Sites/cloning/d4builds.gg/icons/icon-96x96e40e.png	(from https://d4builds.gg/)
16:06:56	4670/4670	---M--	200	added ('OK')	image/png	etag:%223851f9e6fb4221cf10888595e7a2e2ca-ssl%22	https://d4builds.gg/icons/icon-144x144.png?v=bda57afdeaa7f56b094c09032fec7c53	C:/My%20Web%20Sites/cloning/d4builds.gg/icons/icon-144x144e40e.png	(from https://d4builds.gg/)
16:06:57	13664/13664	---M--	200	added ('OK')	image/png	etag:%222b6682c5f11c9650263718035fae5b70-ssl%22	https://d4builds.gg/icons/icon-192x192.png?v=bda57afdeaa7f56b094c09032fec7c53	C:/My%20Web%20Sites/cloning/d4builds.gg/icons/icon-192x192e40e.png	(from https://d4builds.gg/)
16:06:58	8423/8423	---M--	200	added ('OK')	image/png	etag:%22035286cbc619dd2d1f1b8f1f3de7ad18-ssl%22	https://d4builds.gg/icons/icon-256x256.png?v=bda57afdeaa7f56b094c09032fec7c53	C:/My%20Web%20Sites/cloning/d4builds.gg/icons/icon-256x256e40e.png	(from https://d4builds.gg/)
16:06:59	14879/14879	---M--	200	added ('OK')	image/png	etag:%22daad3cffee906963c87230e196cf4f81-ssl%22	https://d4builds.gg/icons/icon-384x384.png?v=bda57afdeaa7f56b094c09032fec7c53	C:/My%20Web%20Sites/cloning/d4builds.gg/icons/icon-384x384e40e.png	(from https://d4builds.gg/)
16:07:00	58881/58881	---M--	200	added ('OK')	image/png	etag:%22bda27d5e97dd21b2daa4bedf9afb49ce-ssl%22	https://d4builds.gg/icons/icon-512x512.png?v=bda57afdeaa7f56b094c09032fec7c53	C:/My%20Web%20Sites/cloning/d4builds.gg/icons/icon-512x512e40e.png	(from https://d4builds.gg/)
16:07:00	5563/5563	---M-Z	200	added ('OK')	application/javascript	etag:%222c1ad87681f1c916d1dd669895a824a5-ssl%22	https://d4builds.gg/webpack-runtime-4b7bb37a2d1d57e053e2.js	C:/My%20Web%20Sites/cloning/d4builds.gg/webpack-runtime-4b7bb37a2d1d57e053e2.js	(from https://d4builds.gg/)
16:07:01	22257/22257	---M-Z	200	added ('OK')	application/javascript	etag:%22aeca4f83b2ccd123a50eee4c5b0254ac-ssl%22	https://d4builds.gg/framework-9235869494a111b68185.js	C:/My%20Web%20Sites/cloning/d4builds.gg/framework-9235869494a111b68185.js	(from https://d4builds.gg/)
16:07:02	218088/218088	---M-Z	200	added ('OK')	application/javascript	etag:%22d4255c3c2d4a54e74af9c58ee73bfe0a-ssl%22	https://d4builds.gg/7112840a-4bc2cd4378ee9016d2b2.js	C:/My%20Web%20Sites/cloning/d4builds.gg/7112840a-4bc2cd4378ee9016d2b2.js	(from https://d4builds.gg/)
16:07:03	120791/120791	---M-Z	200	added ('OK')	application/javascript	etag:%222723c463c460a025fe66913a11f580f8-ssl%22	https://d4builds.gg/5361625a-0c553883e1128fe14881.js	C:/My%20Web%20Sites/cloning/d4builds.gg/5361625a-0c553883e1128fe14881.js	(from https://d4builds.gg/)
16:07:03	172560/172560	---M-Z	200	added ('OK')	application/javascript	etag:%2215ce90a10f0e37f8d3554c9c2911d772-ssl%22	https://d4builds.gg/app-3daef76e9791a091656d.js	C:/My%20Web%20Sites/cloning/d4builds.gg/app-3daef76e9791a091656d.js	(from https://d4builds.gg/)
16:07:04	22511/22511	---M-Z	200	added ('OK')	application/javascript	etag:%2279022657f47a2a4a485a5b8bea04b590-ssl%22	https://d4builds.gg/commons-097dcf20aa42cfbe2dbb.js	C:/My%20Web%20Sites/cloning/d4builds.gg/commons-097dcf20aa42cfbe2dbb.js	(from https://d4builds.gg/)
